YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,20,2,DL,11298,"Dallas/Fort Worth, TX",14869,"Salt Lake City, UT",1820,2013,0,0,0,989
2015,1,20,2,DL,11433,"Detroit, MI",13930,"Chicago, IL",1015,1050,4,0,0,235
2015,1,20,2,DL,13930,"Chicago, IL",11433,"Detroit, MI",1210,1433,0,0,0,235
2015,1,20,2,DL,10397,"Atlanta, GA",13204,"Orlando, FL",2005,2134,0,0,0,404
2015,1,20,2,DL,10397,"Atlanta, GA",11042,"Cleveland, OH",845,1031,0,0,0,554
2015,1,20,2,DL,11042,"Cleveland, OH",10397,"Atlanta, GA",1111,1310,0,0,0,554
2015,1,20,2,DL,10397,"Atlanta, GA",12992,"Little Rock, AR",1025,1110,0,0,0,453
2015,1,20,2,DL,12992,"Little Rock, AR",10397,"Atlanta, GA",1153,1432,0,0,0,453
2015,1,20,2,DL,14685,"Savannah, GA",10397,"Atlanta, GA",740,853,0,0,0,214
2015,1,20,2,DL,10397,"Atlanta, GA",11042,"Cleveland, OH",1026,1219,0,0,0,554
2015,1,20,2,DL,11042,"Cleveland, OH",10397,"Atlanta, GA",1345,1545,0,0,0,554
2015,1,20,2,DL,10397,"Atlanta, GA",14685,"Savannah, GA",1640,1744,0,0,0,214
2015,1,20,2,DL,14685,"Savannah, GA",10397,"Atlanta, GA",1825,1943,0,0,0,214
2015,1,20,2,DL,11433,"Detroit, MI",13487,"Minneapolis, MN",1345,1445,0,0,0,528
2015,1,20,2,DL,13930,"Chicago, IL",10397,"Atlanta, GA",700,1008,0,0,0,606
2015,1,20,2,DL,10397,"Atlanta, GA",14100,"Philadelphia, PA",725,925,0,0,0,666
2015,1,20,2,DL,14100,"Philadelphia, PA",10397,"Atlanta, GA",1015,1243,0,0,0,666
2015,1,20,2,DL,11433,"Detroit, MI",15304,"Tampa, FL",1200,1450,0,0,0,983
2015,1,20,2,DL,14635,"Fort Myers, FL",11433,"Detroit, MI",1516,1811,0,0,0,1084
2015,1,20,2,DL,12992,"Little Rock, AR",10397,"Atlanta, GA",600,836,0,0,0,453
2015,1,20,2,DL,14492,"Raleigh/Durham, NC",10397,"Atlanta, GA",710,857,0,0,0,356
2015,1,20,2,DL,14869,"Salt Lake City, UT",12889,"Las Vegas, NV",835,907,0,0,0,368
2015,1,20,2,DL,12339,"Indianapolis, IN",11433,"Detroit, MI",800,921,0,0,0,231
2015,1,20,2,DL,10397,"Atlanta, GA",10208,"Augusta, GA",1909,2001,0,0,0,143
2015,1,20,2,DL,10397,"Atlanta, GA",12266,"Houston, TX",1342,1501,0,0,0,689
2015,1,20,2,DL,12266,"Houston, TX",10397,"Atlanta, GA",1541,1843,0,0,0,689
2015,1,20,2,DL,11433,"Detroit, MI",12889,"Las Vegas, NV",1535,1717,0,0,0,1749
2015,1,20,2,DL,10397,"Atlanta, GA",15304,"Tampa, FL",1830,1955,0,0,0,406
2015,1,20,2,DL,14107,"Phoenix, AZ",13487,"Minneapolis, MN",800,1209,0,0,0,1276
2015,1,20,2,DL,11433,"Detroit, MI",13930,"Chicago, IL",1520,1555,0,0,0,235
2015,1,20,2,DL,13930,"Chicago, IL",11433,"Detroit, MI",1635,1905,0,0,0,235
2015,1,20,2,DL,10397,"Atlanta, GA",14100,"Philadelphia, PA",850,1049,0,0,0,666
2015,1,20,2,DL,14100,"Philadelphia, PA",10397,"Atlanta, GA",1130,1351,0,0,0,666
2015,1,20,2,DL,10397,"Atlanta, GA",10821,"Baltimore, MD",1110,1300,0,0,0,577
2015,1,20,2,DL,10821,"Baltimore, MD",10397,"Atlanta, GA",1345,1551,0,0,0,577
2015,1,20,2,DL,13487,"Minneapolis, MN",12953,"New York, NY",1010,1348,24,1,0,1020
2015,1,20,2,DL,14100,"Philadelphia, PA",13487,"Minneapolis, MN",815,1026,0,0,0,980
2015,1,20,2,DL,11697,"Fort Lauderdale, FL",12953,"New York, NY",700,951,0,0,0,1076
2015,1,20,2,DL,11433,"Detroit, MI",14635,"Fort Myers, FL",1745,2045,0,0,0,1084
2015,1,20,2,DL,10397,"Atlanta, GA",10721,"Boston, MA",1359,1630,0,0,0,946
2015,1,20,2,DL,10721,"Boston, MA",10397,"Atlanta, GA",710,1026,0,0,0,946
2015,1,20,2,DL,11193,"Cincinnati, OH",15304,"Tampa, FL",933,1153,0,0,0,773
2015,1,20,2,DL,15304,"Tampa, FL",11193,"Cincinnati, OH",1300,1508,0,0,0,773
2015,1,20,2,DL,11193,"Cincinnati, OH",13204,"Orlando, FL",1355,1607,0,0,0,757
2015,1,20,2,DL,10397,"Atlanta, GA",15249,"Tallahassee, FL",2205,2312,0,0,0,223
2015,1,20,2,DL,13487,"Minneapolis, MN",14771,"San Francisco, CA",1745,2004,3,0,0,1589
2015,1,20,2,DL,12892,"Los Angeles, CA",11433,"Detroit, MI",710,1442,0,0,0,1979
2015,1,20,2,DL,10397,"Atlanta, GA",14869,"Salt Lake City, UT",1205,1422,0,0,0,1590
2015,1,20,2,DL,11697,"Fort Lauderdale, FL",12478,"New York, NY",1320,1616,0,0,0,1069
2015,1,20,2,DL,13204,"Orlando, FL",13487,"Minneapolis, MN",1619,1855,0,0,0,1310
2015,1,20,2,DL,11292,"Denver, CO",11433,"Detroit, MI",1143,1626,8,0,0,1123
2015,1,20,2,DL,11433,"Detroit, MI",11292,"Denver, CO",840,1008,,,0,1123
2015,1,20,2,DL,10397,"Atlanta, GA",11433,"Detroit, MI",1856,2058,0,0,0,594
2015,1,20,2,DL,11697,"Fort Lauderdale, FL",12953,"New York, NY",1915,2207,0,0,0,1076
2015,1,20,2,DL,10397,"Atlanta, GA",10257,"Albany, NY",1922,2140,0,0,0,853
2015,1,20,2,DL,11292,"Denver, CO",10397,"Atlanta, GA",610,1115,12,0,0,1199
2015,1,20,2,DL,10397,"Atlanta, GA",11996,"Greer, SC",2145,2241,0,0,0,153
2015,1,20,2,DL,13204,"Orlando, FL",10397,"Atlanta, GA",620,753,0,0,0,404
2015,1,20,2,DL,11433,"Detroit, MI",14027,"West Palm Beach/Palm Beach, FL",850,1207,0,0,0,1086
2015,1,20,2,DL,14027,"West Palm Beach/Palm Beach, FL",11433,"Detroit, MI",1330,1631,0,0,0,1086
2015,1,20,2,DL,11193,"Cincinnati, OH",10397,"Atlanta, GA",600,749,0,0,0,373
2015,1,20,2,DL,10397,"Atlanta, GA",11267,"Dayton, OH",1211,1345,0,0,0,432
2015,1,20,2,DL,11267,"Dayton, OH",10397,"Atlanta, GA",1425,1617,0,0,0,432
2015,1,20,2,DL,10397,"Atlanta, GA",14730,"Louisville, KY",810,929,0,0,0,321
2015,1,20,2,DL,14730,"Louisville, KY",10397,"Atlanta, GA",1005,1135,0,0,0,321
2015,1,20,2,DL,10721,"Boston, MA",11433,"Detroit, MI",1638,1904,0,0,0,632
2015,1,20,2,DL,14869,"Salt Lake City, UT",10397,"Atlanta, GA",830,1416,0,0,0,1590
2015,1,20,2,DL,10397,"Atlanta, GA",10821,"Baltimore, MD",1630,1819,0,0,0,577
2015,1,20,2,DL,10821,"Baltimore, MD",10397,"Atlanta, GA",1900,2106,0,0,0,577
2015,1,20,2,DL,13204,"Orlando, FL",12953,"New York, NY",825,1102,0,0,0,950
2015,1,20,2,DL,10397,"Atlanta, GA",11697,"Fort Lauderdale, FL",1623,1814,0,0,0,581
2015,1,20,2,DL,11697,"Fort Lauderdale, FL",10397,"Atlanta, GA",1905,2105,0,0,0,581
2015,1,20,2,DL,10397,"Atlanta, GA",13487,"Minneapolis, MN",1635,1822,23,1,0,907
2015,1,21,3,DL,10397,"Atlanta, GA",11986,"Grand Rapids, MI",2035,2233,0,0,0,640
2015,1,21,3,DL,12173,"Honolulu, HI",12892,"Los Angeles, CA",1635,9,0,0,0,2556
2015,1,21,3,DL,12892,"Los Angeles, CA",13487,"Minneapolis, MN",44,622,1,0,0,1535
2015,1,21,3,DL,10397,"Atlanta, GA",12264,"Washington, DC",725,904,0,0,0,534
2015,1,21,3,DL,12264,"Washington, DC",10397,"Atlanta, GA",940,1135,0,0,0,534
2015,1,21,3,DL,11433,"Detroit, MI",10821,"Baltimore, MD",2010,2154,0,0,0,409
2015,1,21,3,DL,10821,"Baltimore, MD",11433,"Detroit, MI",1650,1832,22,1,0,409
2015,1,21,3,DL,10397,"Atlanta, GA",11278,"Washington, DC",2145,2324,0,0,0,547
2015,1,21,3,DL,11278,"Washington, DC",10397,"Atlanta, GA",1100,1305,0,0,0,547
2015,1,21,3,DL,10821,"Baltimore, MD",10397,"Atlanta, GA",1740,1947,23,1,0,577
2015,1,21,3,DL,10397,"Atlanta, GA",11986,"Grand Rapids, MI",1205,1400,0,0,0,640
2015,1,21,3,DL,11986,"Grand Rapids, MI",10397,"Atlanta, GA",1435,1650,0,0,0,640
2015,1,21,3,DL,11433,"Detroit, MI",11697,"Fort Lauderdale, FL",1755,2105,10,0,0,1127
2015,1,21,3,DL,12266,"Houston, TX",10397,"Atlanta, GA",1120,1418,0,0,0,689
2015,1,21,3,DL,11433,"Detroit, MI",11278,"Washington, DC",720,910,0,0,0,405
2015,1,21,3,DL,10397,"Atlanta, GA",11298,"Dallas/Fort Worth, TX",1725,1858,0,0,0,731
2015,1,21,3,DL,14107,"Phoenix, AZ",10397,"Atlanta, GA",830,1401,0,0,0,1587
2015,1,21,3,DL,11697,"Fort Lauderdale, FL",11433,"Detroit, MI",948,1254,0,0,0,1127
2015,1,21,3,DL,11433,"Detroit, MI",12953,"New York, NY",2155,2342,21,1,0,502
2015,1,21,3,DL,11641,"Fayetteville, NC",10397,"Atlanta, GA",600,735,0,0,0,331
2015,1,21,3,DL,12889,"Las Vegas, NV",13487,"Minneapolis, MN",45,550,0,0,0,1299
2015,1,21,3,DL,13487,"Minneapolis, MN",12889,"Las Vegas, NV",1755,1931,0,0,0,1299
2015,1,21,3,DL,10140,"Albuquerque, NM",10397,"Atlanta, GA",620,1124,0,0,0,1269
2015,1,21,3,DL,14747,"Seattle, WA",13487,"Minneapolis, MN",707,1226,3,0,0,1399
2015,1,21,3,DL,10397,"Atlanta, GA",12892,"Los Angeles, CA",944,1155,12,0,0,1947
2015,1,21,3,DL,14492,"Raleigh/Durham, NC",10397,"Atlanta, GA",600,733,0,0,0,356
2015,1,21,3,DL,14747,"Seattle, WA",14869,"Salt Lake City, UT",1715,2009,3,0,0,689
2015,1,21,3,DL,10397,"Atlanta, GA",14635,"Fort Myers, FL",1101,1249,0,0,0,515
2015,1,21,3,DL,14635,"Fort Myers, FL",10397,"Atlanta, GA",1340,1533,0,0,0,515
2015,1,21,3,DL,11057,"Charlotte, NC",11433,"Detroit, MI",600,752,0,0,0,500
2015,1,21,3,DL,15304,"Tampa, FL",11433,"Detroit, MI",1540,1825,0,0,0,983
2015,1,21,3,DL,10397,"Atlanta, GA",13495,"New Orleans, LA",1055,1137,0,0,0,425
2015,1,21,3,DL,13495,"New Orleans, LA",10397,"Atlanta, GA",1217,1442,0,0,0,425
2015,1,21,3,DL,10397,"Atlanta, GA",10994,"Charleston, SC",1049,1158,0,0,0,259
2015,1,21,3,DL,10994,"Charleston, SC",10397,"Atlanta, GA",1245,1404,0,0,0,259
2015,1,21,3,DL,13487,"Minneapolis, MN",11278,"Washington, DC",730,1103,21,1,0,931
2015,1,21,3,DL,10397,"Atlanta, GA",12478,"New York, NY",1259,1512,0,0,0,760
2015,1,21,3,DL,10397,"Atlanta, GA",11995,"Greensboro/High Point, NC",1455,1609,0,0,0,306
2015,1,21,3,DL,11995,"Greensboro/High Point, NC",10397,"Atlanta, GA",1649,1820,0,0,0,306
2015,1,21,3,DL,11298,"Dallas/Fort Worth, TX",14869,"Salt Lake City, UT",1820,2010,0,0,0,989
2015,1,21,3,DL,11433,"Detroit, MI",13930,"Chicago, IL",1015,1050,31,1,0,235
2015,1,21,3,DL,13930,"Chicago, IL",11433,"Detroit, MI",1210,1433,32,1,0,235
2015,1,21,3,DL,10397,"Atlanta, GA",13204,"Orlando, FL",2005,2134,36,1,0,404
2015,1,21,3,DL,10397,"Atlanta, GA",11042,"Cleveland, OH",850,1036,0,0,0,554
2015,1,21,3,DL,11042,"Cleveland, OH",10397,"Atlanta, GA",1111,1310,0,0,0,554
2015,1,21,3,DL,10397,"Atlanta, GA",12992,"Little Rock, AR",1102,1141,3,0,0,453
2015,1,21,3,DL,12992,"Little Rock, AR",10397,"Atlanta, GA",1221,1458,0,0,0,453
2015,1,21,3,DL,14685,"Savannah, GA",10397,"Atlanta, GA",740,853,0,0,0,214
2015,1,21,3,DL,10397,"Atlanta, GA",11042,"Cleveland, OH",1026,1219,0,0,0,554
2015,1,21,3,DL,11042,"Cleveland, OH",10397,"Atlanta, GA",1300,1504,0,0,0,554
2015,1,21,3,DL,10397,"Atlanta, GA",14685,"Savannah, GA",1640,1744,0,0,0,214
